Actual,Predicted,City
9.52813067150635,11.243545379293726,Canton
3.399192691735713,3.5223089171655637,Hallsville
2.930832356389215,2.052592749963237,Bovina
3.554502369668246,2.2574123536259743,Wink
1.7835909631391202,2.748996968551878,Itasca
12.094264117385503,11.76590962163798,Elgin
10.845986984815616,13.273375260642574,San Augustine
17.171476269973763,15.79376110486644,Levelland
4.800768122899664,5.499157117569636,Weimar
19.599075937104104,17.66937279662048,Kilgore
6.5048786589942456,4.33952254597418,Highland Village
8.637612877895563,4.3439122388990485,Hudson Oaks
7.585335018963337,4.434863034646135,Garrison
7.165511570539175,11.035177630459982,Northlake
13.969873663751216,11.472195800669962,Kerrville
24.907910892825814,18.900819565993746,Leon Valley
0.0,0.6903790779035762,Tenaha
19.28696668614845,12.360822277462136,Stafford
17.07848837209302,13.031344521525497,Alvarado
32.00045633449319,10.118249723751141,Addison
21.957671957671955,19.852244810120624,Galveston
13.504538410449413,8.598164613724895,Hearne
16.241822693435598,13.445808642931853,Pittsburg
14.02577710386657,8.65885662176947,Floydada
12.175677634439776,15.717036528359905,Del Rio
8.07265388496468,4.416348554690087,Mustang Ridge
20.112670488238784,18.44031502707885,Rosenberg
10.888057162300104,8.587982976141978,Fairfield
15.46164040642026,11.983586941632016,La Feria
15.267175572519083,13.126433370357592,Ingram
2.7416303046684947,4.1100969580282065,Colleyville
6.648936170212766,6.605723892601663,Grapeland
3.923766816143498,4.196655420056151,Caddo Mills
10.45166106756252,9.289084062999258,Montgomery
12.22550553334492,12.163226594649089,Taylor
4.984001061680699,7.998736332113958,Pflugerville
11.418068397014592,13.228339734325315,White Settlement
7.57238307349666,6.339916804075568,Godley
3.3557046979865777,4.737947779780383,Memphis
33.59173126614987,19.373365876462977,Balcones Heights
4.608294930875576,7.937072721397871,Wallis
9.575506221029519,10.291388431772322,Red Oak
14.799999999999997,8.831637988833158,Mount Vernon
13.346296623652115,13.206861836958122,Marshall
20.325203252032523,3.425531179567344,Coffee City
7.8817733990147785,9.542369748004774,Wortham
14.098177067131216,12.05065953508188,Garland
9.502515371716045,6.498164432717345,Honey Grove
5.518763796909494,6.109621662412753,Buffalo
3.629450397511234,5.725144470481364,Hickory Creek
10.077874484654144,4.161596211484921,Shiner
20.8418471597875,17.163605044343075,El Campo
15.817779183802593,10.998005076863553,Early
7.653061224489797,11.020297280015624,Canyon
15.135853514471352,8.919124227855884,Seabrook
12.680025046963054,11.69557251018902,Hempstead
1.6817321841496742,3.583327366137829,Woodway
2.8169014084507045,5.1275735448029085,Jamaica Beach
13.457902346791235,12.198656798547965,Balch Springs
12.728278915329277,7.81067253824098,Sour Lake
9.84545383227426,8.762675850043422,Grapevine
9.369832812787067,10.236423691646218,Atlanta
0.9160025648071815,6.612953408432056,Fairview
7.012622720897617,6.974718146689239,Venus
4.11381556393555,4.94689963640156,Shallowater
6.932823332536457,8.618808923685123,Dimmitt
6.177325581395349,11.590436952587128,Joshua
14.476190476190473,13.297401428534913,Freeport
0.0,1.00471937978577,Hico
5.179282868525896,4.5939746589754815,Palmer
19.620667102681487,11.030249791370997,Cactus
12.53565530701096,14.456912340013048,Tomball
8.567733591981895,7.110466095977951,Bridgeport
5.943536404160476,5.712646998339852,Josephine
7.657945118059988,6.788282522792376,Bulverde
2.175095160413268,6.132984190181009,Rhome
5.64838785596611,8.432099734129626,Caldwell
17.448016573313897,18.24413037665516,Victoria
2.2870211549456827,3.2260514313487807,Marfa
9.080142123963679,7.484746245033888,Muleshoe
9.718298908958978,6.205912802500529,Midlothian
14.946619217081851,16.284331366275953,Terrell
22.920009168003663,17.370030319944508,Lamesa
37.231342020646466,19.263573026950333,Alice
34.02391780360451,24.32615382470729,Livingston
1.0787486515641855,2.0861576228852847,Miles
23.064599014540065,14.509095350449662,San Angelo
10.02087682672234,7.7701402289490815,Monahans
2.74914089347079,2.96811257049555,Ovilla
5.5701179554390565,9.846054098331134,Castroville
14.854547113756421,15.724815405664406,Conroe
9.031556039173013,15.92690739484369,Jacinto City
25.27347012297968,21.583757701036223,San Antonio
23.09438608642117,12.374753372693776,Midland
5.614823133071308,5.173940331809231,Franklin
11.244695898161247,14.166853136333946,Dumas
12.170959524483441,10.151997857998813,Seminole
10.086275163589379,6.200122585290428,Saginaw
6.692592927557204,8.981083830129105,Burkburnett
15.670982931135962,16.20229428555563,Beeville
5.642361111111111,11.579156772957791,Sulphur Springs
13.131313131313133,7.927873018604972,Poteet
19.432945486114782,18.49815857893252,Brownsville
2.853306478684122,6.15472314452696,Yoakum
14.225462863678604,9.57704306868977,DeSoto
29.61037683178764,22.609772055681432,Houston
5.795809184128401,4.960315904917876,Tool
10.440835266821344,6.6095412278911,Bremond
15.772870662460566,14.758285024650375,Commerce
4.905968928863451,5.315853598373713,Pilot Point
10.309278350515466,11.256594930322894,Kenedy
23.341420563875182,22.761218939459326,Texarkana
17.15879030528348,13.702374994484908,Alvin
4.836361928910175,3.8471707154869432,Murphy
7.589252301474438,9.356972189253634,Carrollton
11.5437292115046,13.389690201759663,Center
14.162077104642014,9.073752272279613,Keene
5.291005291005291,5.827477915226312,Taft
2.1413276231263385,1.3111722701252833,Sudan
0.5068423720223011,1.3487540148911625,Stratford
30.828516377649333,8.56939414126781,Crandall
8.290155440414509,6.004485768876813,Calvert
8.778684737409518,11.918736533339262,Athens
